Compound,Also listed as / alias,Effect type,Primary effects (summary),Mechanism (short),Mechanistic Tags,Acute effect after one dose?,Onset/Peak/Duration,Recreational?,Dependence/Tolerance Risk,Daytime vs. Nighttime Fit,Voxra (Bupropion) Interaction,SSRI (Escitalopram 10mg) Interaction,Evidence Strength,Evidence Summary,Efficacy Score,Safety Score
Methylphenidate,Ritalin|Concerta|Metadate,Stimulant,Increases focus and attention; reduces hyperactivity and impulsivity,Dopamine and norepinephrine reuptake inhibitor,ADHD|Stimulant|Dopamine|Norepinephrine,Yes,30-60m / 2-4h / 3-6h,No,Moderate tolerance with chronic use,Daytime only,Possible increased cardiovascular effects,Generally safe but monitor for serotonin interactions,A,FDA-approved for ADHD with extensive clinical evidence,8.5,7.0
Amphetamine Mixed Salts,Adderall|Dextroamphetamine,Stimulant,Strong increase in focus and energy; reduces ADHD symptoms,Increases dopamine and norepinephrine release,ADHD|Stimulant|Dopamine|Norepinephrine,Yes,30-60m / 2-4h / 4-6h,Moderate,High tolerance and dependence risk,Daytime only,Increased risk of hypertension and cardiac effects,Monitor closely - potential serotonin syndrome risk,A,FDA-approved with strong efficacy data for ADHD,9.0,6.5
Lisdexamfetamine,Vyvanse,Stimulant,Smooth and long-lasting focus enhancement; less euphoria than IR amphetamine,Prodrug converted to dextroamphetamine,ADHD|Stimulant|Dopamine|Prodrug,Yes,60-90m / 3-5h / 10-14h,Low,Moderate tolerance and dependence risk,Daytime only,Increased cardiovascular monitoring needed,Monitor for serotonin syndrome,A,FDA-approved with good safety profile and abuse-deterrent properties,8.8,7.5
Atomoxetine,Strattera,Non-stimulant ADHD,Gradual improvement in attention and impulse control; less immediate than stimulants,Selective norepinephrine reuptake inhibitor,ADHD|Norepinephrine|Non-stimulant,No,2-4 weeks for full effect / N/A / 24h,No,Low risk,Either; typically taken morning,Generally safe combination,Safe; both affect norepinephrine,B,FDA-approved non-stimulant ADHD treatment; slower onset,7.0,8.5
Guanfacine,Intuniv,Non-stimulant ADHD,Improves focus and reduces hyperactivity; calming effect,Alpha-2A adrenergic agonist,ADHD|Non-stimulant|Alpha-agonist|Calming,Mild,1-2h / 2-4h / 24h,No,Low risk,Either; bedtime if sedating,Safe combination,Safe combination,B,FDA-approved for ADHD; particularly helpful for hyperactivity,7.5,8.0
Clonidine,Kapvay,Non-stimulant ADHD,Reduces hyperactivity and impulsivity; promotes calm,Alpha-2 adrenergic agonist,ADHD|Non-stimulant|Alpha-agonist|Sedating,Yes,30-60m / 2-4h / 12-24h,No,Low risk,Nighttime preferred (sedating),Monitor blood pressure,Safe combination; monitor blood pressure,B,FDA-approved for ADHD; often used as adjunct,7.0,8.0
Modafinil,Provigil,Wakefulness-promoting,Promotes alertness and reduces fatigue; smoother than traditional stimulants,Dopamine reuptake inhibitor; orexin activation,Wakefulness|Cognitive enhancement|Dopamine,Yes,30-60m / 2-4h / 12-15h,Low,Very low tolerance,Daytime only,Generally safe; mild additive effect,Safe combination,A,FDA-approved for narcolepsy/sleep disorders; strong evidence for wakefulness,8.5,8.5
Armodafinil,Nuvigil,Wakefulness-promoting,Similar to modafinil but longer-lasting; R-enantiomer only,Dopamine reuptake inhibitor; orexin activation,Wakefulness|Cognitive enhancement|Dopamine,Yes,60-120m / 2-4h / 12-15h,Low,Very low tolerance,Daytime only,Generally safe; mild additive effect,Safe combination,A,FDA-approved; similar profile to modafinil with longer duration,8.5,8.5
Piracetam,Nootropil,Nootropic (Racetam),Mild cognitive enhancement; improves verbal fluency and memory,Modulates AMPA receptors; improves neuronal membrane fluidity,Racetam|Cholinergic|Neuroprotection,Mild,30-60m / 1-2h / 4-6h,No,No tolerance,Either,Safe combination,Safe combination,C,Widely studied in Europe; moderate evidence for cognitive benefits,6.5,9.0
Aniracetam,N/A,Nootropic (Racetam),Enhances verbal fluency and reduces anxiety; fat-soluble racetam,AMPA receptor modulation; anxiolytic properties,Racetam|Anxiolytic|Cholinergic,Yes,20-30m / 1-2h / 3-5h,No,No tolerance,Either,Safe combination,Safe combination,D,Limited clinical trials; anecdotal support for cognitive and mood benefits,6.0,8.5
Oxiracetam,N/A,Nootropic (Racetam),Improves logical thinking and focus; stimulating racetam,AMPA/NMDA modulation; increases acetylcholine,Racetam|Stimulating|Cholinergic,Yes,30-60m / 2-3h / 6-8h,No,No tolerance,Daytime,Safe combination,Safe combination,D,Limited clinical evidence; user reports suggest cognitive benefits,6.0,8.5
Phenylpiracetam,Phenotropil,Nootropic (Racetam),Stimulating and cognitive enhancing; physical performance boost,Increases NMDA receptor density; dopaminergic,Racetam|Stimulant|Physical performance,Yes,30-60m / 2-4h / 5-7h,Mild,Tolerance develops quickly,Daytime only,Monitor; mild dopaminergic interaction,Safe combination,D,Banned by WADA; limited clinical data but strong anecdotal effects,7.5,7.5
Noopept,GVS-111,Nootropic (Peptide),Stronger and faster-acting than piracetam; neuroprotective,Increases BDNF and NGF; modulates glutamate,Peptide|Neuroprotection|BDNF|NGF,Yes,15-20m / 30m-1h / 3-5h,No,Mild tolerance possible,Either,Safe combination,Safe combination,D,Limited human trials; popular in nootropic community,7.0,8.0
